year.id,year.display-label,hisp.id,hisp.display-label,GEO.id,GEO.id2,GEO.display-label,wac_sex0_age999,bac_sex0_age999,iac_sex0_age999,aac_sex0_age999,nac_sex0_age999,wac_sex0_age0to17,bac_sex0_age0to17,iac_sex0_age0to17,aac_sex0_age0to17,nac_sex0_age0to17,wac_sex0_age18to64,bac_sex0_age18to64,iac_sex0_age18to64,aac_sex0_age18to64,nac_sex0_age18to64,wac_sex0_age65plus,bac_sex0_age65plus,iac_sex0_age65plus,aac_sex0_age65plus,nac_sex0_age65plus
est72011,"July 1, 2011 Estimate",hisp,Hispanic,0400000US01,01,Alabama,165452,16207,9856,2878,3635,62105,6128,3653,1075,1309,98521,9494,6027,1702,2266,4826,585,176,101,60
est72011,"July 1, 2011 Estimate",nhisp,Not Hispanic,0400000US01,01,Alabama,3265237,1282976,53822,68799,4258,694580,356103,12814,19172,1439,2029925,806783,34992,45514,2566,540732,120090,6016,4113,253
est72011,"July 1, 2011 Estimate",totpop,Total,0400000US01,01,Alabama,3430689,1299183,63678,71677,7893,756685,362231,16467,20247,2748,2128446,816277,41019,47216,4832,545558,120675,6192,4214,313
est72012,"July 1, 2012 Estimate",hisp,Hispanic,0400000US01,01,Alabama,167246,16734,9832,2777,3518,63366,6272,3570,1058,1224,98552,9820,6070,1610,2226,5328,642,192,109,68
est72012,"July 1, 2012 Estimate",nhisp,Not Hispanic,0400000US01,01,Alabama,3268667,1291397,54478,71987,4458,689182,352385,12706,19949,1515,2017683,814292,35256,47453,2667,561802,124720,6516,4585,276
est72012,"July 1, 2012 Estimate",totpop,Total,0400000US01,01,Alabama,3435913,1308131,64310,74764,7976,752548,358657,16276,21007,2739,2116235,824112,41326,49063,4893,567130,125362,6708,4694,344
est72013,"July 1, 2013 Estimate",hisp,Hispanic,0400000US01,01,Alabama,169505,17202,9834,2823,3402,65130,6470,3591,1071,1187,98579,10044,6038,1638,2141,5796,688,205,114,74
est72013,"July 1, 2013 Estimate",nhisp,Not Hispanic,0400000US01,01,Alabama,3269867,1301145,55059,74836,4639,683714,349508,12600,20598,1564,2009133,822185,35457,49217,2776,577020,129452,7002,5021,299
est72013,"July 1, 2013 Estimate",totpop,Total,0400000US01,01,Alabama,3439372,1318347,64893,77659,8041,748844,355978,16191,21669,2751,2107712,832229,41495,50855,4917,582816,130140,7207,5135,373
est72014,"July 1, 2014 Estimate",hisp,Hispanic,0400000US01,01,Alabama,172737,17828,9992,2864,3438,67022,6795,3741,1111,1192,99426,10307,6024,1619,2167,6289,726,227,134,79
est72014,"July 1, 2014 Estimate",nhisp,Not Hispanic,0400000US01,01,Alabama,3270980,1310347,55772,77987,4760,679729,349151,12581,21245,1610,1998858,825757,35661,51229,2824,592393,135439,7530,5513,326
est72014,"July 1, 2014 Estimate",totpop,Total,0400000US01,01,Alabama,3443717,1328175,65764,80851,8198,746751,355946,16322,22356,2802,2098284,836064,41685,52848,4991,598682,136165,7757,5647,405
est72015,"July 1, 2015 Estimate",hisp,Hispanic,0400000US01,01,Alabama,175866,18715,10296,2936,3492,68563,7187,3888,1154,1246,100438,10730,6160,1649,2153,6865,798,248,133,93
est72015,"July 1, 2015 Estimate",nhisp,Not Hispanic,0400000US01,01,Alabama,3268304,1319572,56437,80986,4925,674654,349450,12559,21848,1652,1987867,828499,35946,53153,2900,605783,141623,7932,5985,373
est72015,"July 1, 2015 Estimate",totpop,Total,0400000US01,01,Alabama,3444170,1338287,66733,83922,8417,743217,356637,16447,23002,2898,2088305,839229,42106,54802,5053,612648,142421,8180,6118,466
cen42010,"April 1, 2010 Census",hisp,Hispanic,0400000US02,02,Alaska,31384,3703,6275,2307,821,11586,1800,3044,1100,431,18777,1848,3122,1136,383,1021,55,109,71,7
cen42010,"April 1, 2010 Census",nhisp,Not Hispanic,0400000US02,02,Alaska,496325,30464,133487,48636,10539,118592,11402,47330,15554,4497,335853,17848,77711,29934,5790,41880,1214,8446,3148,252
cen42010,"April 1, 2010 Census",totpop,Total,0400000US02,02,Alaska,527709,34167,139762,50943,11360,130178,13202,50374,16654,4928,354630,19696,80833,31070,6173,42901,1269,8555,3219,259
est42010,"April 1, 2010 Estimates Base",hisp,Hispanic,0400000US02,02,Alaska,31387,3703,6275,2307,821,11586,1800,3044,1100,431,18780,1848,3122,1136,383,1021,55,109,71,7
est42010,"April 1, 2010 Estimates Base",nhisp,Not Hispanic,0400000US02,02,Alaska,496333,30465,133490,48640,10539,118592,11402,47330,15554,4497,335861,17849,77714,29938,5790,41880,1214,8446,3148,252
est42010,"April 1, 2010 Estimates Base",totpop,Total,0400000US02,02,Alaska,527720,34168,139765,50947,11360,130178,13202,50374,16654,4928,354641,19697,80836,31074,6173,42901,1269,8555,3219,259
est72010,"July 1, 2010 Estimate",hisp,Hispanic,0400000US02,02,Alaska,31994,3742,6426,2352,853,11713,1812,3139,1119,439,19231,1871,3176,1160,407,1050,59,111,73,7
est72010,"July 1, 2010 Estimate",nhisp,Not Hispanic,0400000US02,02,Alaska,498238,30893,133882,49162,10659,118793,11484,47418,15707,4536,337134,18171,78006,30249,5865,42311,1238,8458,3206,258
est72010,"July 1, 2010 Estimate",totpop,Total,0400000US02,02,Alaska,530232,34635,140308,51514,11512,130506,13296,50557,16826,4975,356365,20042,81182,31409,6272,43361,1297,8569,3279,265
est72011,"July 1, 2011 Estimate",hisp,Hispanic,0400000US02,02,Alaska,33845,3882,6836,2469,905,11948,1862,3400,1166,461,20659,1957,3305,1215,434,1238,63,131,88,10
est72011,"July 1, 2011 Estimate",nhisp,Not Hispanic,0400000US02,02,Alaska,500885,32018,135023,50961,11110,118253,11704,47407,15999,4681,337961,18961,78948,31517,6134,44671,1353,8668,3445,295
est72011,"July 1, 2011 Estimate",totpop,Total,0400000US02,02,Alaska,534730,35900,141859,53430,12015,130201,13566,50807,17165,5142,358620,20918,82253,32732,6568,45909,1416,8799,3533,305
est72012,"July 1, 2012 Estimate",hisp,Hispanic,0400000US02,02,Alaska,36823,4089,7379,2532,923,12425,1919,3810,1188,476,22868,2070,3420,1251,438,1530,100,149,93,9
est72012,"July 1, 2012 Estimate",nhisp,Not Hispanic,0400000US02,02,Alaska,501813,33977,135143,52702,11700,116703,11799,47208,16315,4863,337386,20679,79105,32716,6522,47724,1499,8830,3671,315
est72012,"July 1, 2012 Estimate",totpop,Total,0400000US02,02,Alaska,538636,38066,142522,55234,12623,129128,13718,51018,17503,5339,360254,22749,82525,33967,6960,49254,1599,8979,3764,324
est72013,"July 1, 2013 Estimate",hisp,Hispanic,0400000US02,02,Alaska,39337,4194,7757,2593,963,12871,1911,4080,1210,495,24815,2174,3521,1277,455,1651,109,156,106,13
est72013,"July 1, 2013 Estimate",nhisp,Not Hispanic,0400000US02,02,Alaska,501936,35166,135371,54366,12075,115470,11892,47069,16576,4916,336166,21594,79121,33836,6813,50300,1680,9181,3954,346
est72013,"July 1, 2013 Estimate",totpop,Total,0400000US02,02,Alaska,541273,39360,143128,56959,13038,128341,13803,51149,17786,5411,360981,23768,82642,35113,7268,51951,1789,9337,4060,359
est72014,"July 1, 2014 Estimate",hisp,Hispanic,0400000US02,02,Alaska,40669,4287,7937,2624,982,13074,1900,4054,1192,494,25881,2275,3703,1320,474,1714,112,180,112,14
est72014,"July 1, 2014 Estimate",nhisp,Not Hispanic,0400000US02,02,Alaska,498315,35250,135525,56049,12436,114054,11926,46729,16900,4996,331324,21636,79172,34916,7068,52937,1688,9624,4233,372
est72014,"July 1, 2014 Estimate",totpop,Total,0400000US02,02,Alaska,538984,39537,143462,58673,13418,127128,13826,50783,18092,5490,357205,23911,82875,36236,7542,54651,1800,9804,4345,386
est72015,"July 1, 2015 Estimate",hisp,Hispanic,0400000US02,02,Alaska,41640,4467,8025,2625,1025,13149,1932,4010,1170,504,26689,2416,3818,1335,507,1802,119,197,120,14
est72015,"July 1, 2015 Estimate",nhisp,Not Hispanic,0400000US02,02,Alaska,496799,35638,135801,57732,12838,113260,12067,46522,17257,5145,327888,21817,79240,35950,7281,55651,1754,10039,4525,412
est72015,"July 1, 2015 Estimate",totpop,Total,0400000US02,02,Alaska,538439,40105,143826,60357,13863,126409,13999,50532,18427,5649,354577,24233,83058,37285,7788,57453,1873,10236,4645,426
cen42010,"April 1, 2010 Census",hisp,Hispanic,0400000US04,04,Arizona,1752665,54359,99771,28510,8161,645654,26243,40744,12721,3486,1014712,27003,55883,15030,4475,92299,1113,3144,759,200
cen42010,"April 1, 2010 Census",nhisp,Not Hispanic,0400000US04,04,Arizona,3802204,284270,294425,213479,20270,728565,93341,95293,58113,6639,2338735,173075,177381,140319,12665,734904,17854,21751,15047,966
cen42010,"April 1, 2010 Census",totpop,Total,0400000US04,04,Arizona,5554869,338629,394196,241989,28431,1374219,119584,136037,70834,10125,3353447,200078,233264,155349,17140,827203,18967,24895,15806,1166
est42010,"April 1, 2010 Estimates Base",hisp,Hispanic,0400000US04,04,Arizona,1752688,54359,99773,28510,8161,645654,26243,40744,12721,3486,1014729,27003,55885,15030,4475,92305,1113,3144,759,200
est42010,"April 1, 2010 Estimates Base",nhisp,Not Hispanic,0400000US04,04,Arizona,3802445,284286,294431,213483,20272,728565,93341,95292,58113,6639,2338784,173078,177388,140322,12667,735096,17867,21751,15048,966
est42010,"April 1, 2010 Estimates Base",totpop,Total,0400000US04,04,Arizona,5555133,338645,394204,241993,28433,1374219,119584,136036,70834,10125,3353513,200081,233273,155352,17142,827401,18980,24895,15807,1166
est72010,"July 1, 2010 Estimate",hisp,Hispanic,0400000US04,04,Arizona,1760453,54600,100591,28621,8198,644987,26283,40908,12748,3490,1021865,27175,56493,15098,4505,93601,1142,3190,775,203
est72010,"July 1, 2010 Estimate",nhisp,Not Hispanic,0400000US04,04,Arizona,3806258,285960,295213,215314,20358,726326,93498,95014,58446,6657,2339139,174349,178240,141509,12730,740793,18113,21959,15359,971
est72010,"July 1, 2010 Estimate",totpop,Total,0400000US04,04,Arizona,5566711,340560,395804,243935,28556,1371313,119781,135922,71194,10147,3361004,201524,234733,156607,17235,834394,19255,25149,16134,1174
est72011,"July 1, 2011 Estimate",hisp,Hispanic,0400000US04,04,Arizona,1788460,56009,103017,29470,8418,639124,26367,41414,12926,3535,1050209,28393,58247,15699,4646,99127,1249,3356,845,237
est72011,"July 1, 2011 Estimate",nhisp,Not Hispanic,0400000US04,04,Arizona,3818591,294735,298945,223838,20877,719329,95037,94371,59813,6771,2337083,180611,181771,147374,13082,762179,19087,22803,16651,1024
est72011,"July 1, 2011 Estimate",totpop,Total,0400000US04,04,Arizona,5607051,350744,401962,253308,29295,1358453,121404,135785,72739,10306,3387292,209004,240018,163073,17728,861306,20336,26159,17496,1261
est72012,"July 1, 2012 Estimate",hisp,Hispanic,0400000US04,04,Arizona,1823004,57630,106120,30363,8673,639175,26701,42353,13099,3601,1077787,29603,60167,16335,4807,106042,1326,3600,929,265
est72012,"July 1, 2012 Estimate",nhisp,Not Hispanic,0400000US04,04,Arizona,3844178,305250,303486,233400,21481,716082,97319,94399,61482,6904,2324508,187286,184868,153764,13448,803588,20645,24219,18154,1129
est72012,"July 1, 2012 Estimate",totpop,Total,0400000US04,04,Arizona,5667182,362880,409606,263763,30154,1355257,124020,136752,74581,10505,3402295,216889,245035,170099,18255,909630,21971,27819,19083,1394
est72013,"July 1, 2013 Estimate",hisp,Hispanic,0400000US04,04,Arizona,1857272,59516,108826,31044,8909,639244,27250,43107,13195,3615,1105096,30859,61829,16859,5001,112932,1407,3890,990,293
est72013,"July 1, 2013 Estimate",nhisp,Not Hispanic,0400000US04,04,Arizona,3864963,315169,307081,243172,22162,712588,99839,94369,63302,7037,2313072,193295,187219,160219,13878,839303,22035,25493,19651,1247
est72013,"July 1, 2013 Estimate",totpop,Total,0400000US04,04,Arizona,5722235,374685,415907,274216,31071,1351832,127089,137476,76497,10652,3418168,224154,249048,177078,18879,952235,23442,29383,20641,1540
est72014,"July 1, 2014 Estimate",hisp,Hispanic,0400000US04,04,Arizona,1897307,61682,111512,32107,9237,642016,27848,43588,13506,3678,1134542,32303,63743,17489,5248,120749,1531,4181,1112,311
est72014,"July 1, 2014 Estimate",nhisp,Not Hispanic,0400000US04,04,Arizona,3896945,326833,311478,254025,22866,710844,102876,94520,65319,7182,2309878,200179,189973,167201,14314,876223,23778,26985,21505,1370
est72014,"July 1, 2014 Estimate",totpop,Total,0400000US04,04,Arizona,5794252,388515,422990,286132,32103,1352860,130724,138108,78825,10860,3444420,232482,253716,184690,19562,996972,25309,31166,22617,1681
est72015,"July 1, 2015 Estimate",hisp,Hispanic,0400000US04,04,Arizona,1935766,63981,114171,33219,9582,643212,28554,43873,13839,3768,1163837,33755,65730,18178,5489,128717,1672,4568,1202,325
est72015,"July 1, 2015 Estimate",nhisp,Not Hispanic,0400000US04,04,Arizona,3930262,339734,315180,265632,23530,709256,106103,94465,67478,7374,2307906,207839,192048,174674,14681,913100,25792,28667,23480,1475
est72015,"July 1, 2015 Estimate",totpop,Total,0400000US04,04,Arizona,5866028,403715,429351,298851,33112,1352468,134657,138338,81317,11142,3471743,241594,257778,192852,20170,1041817,27464,33235,24682,1800
cen42010,"April 1, 2010 Census",hisp,Hispanic,0400000US05,05,Arkansas,171140,7709,8869,2376,1441,69026,3470,3636,1046,513,98055,4049,5059,1279,894,4059,190,174,51,34
cen42010,"April 1, 2010 Census",nhisp,Not Hispanic,0400000US05,05,Arkansas,2216979,464709,43594,43683,7156,485158,145494,11855,12699,2971,1357646,281410,27332,28723,3995,374175,37805,4407,2261,190
cen42010,"April 1, 2010 Census",totpop,Total,0400000US05,05,Arkansas,2388119,472418,52463,46059,8597,554184,148964,15491,13745,3484,1455701,285459,32391,30002,4889,378234,37995,4581,2312,224
est42010,"April 1, 2010 Estimates Base",hisp,Hispanic,0400000US05,05,Arkansas,171140,7709,8869,2376,1441,69026,3470,3636,1046,513,98055,4049,5059,1279,894,4059,190,174,51,34
est42010,"April 1, 2010 Estimates Base",nhisp,Not Hispanic,0400000US05,05,Arkansas,2216993,464737,43592,43683,7156,485158,145494,11855,12699,2971,1357649,281420,27330,28723,3995,374186,37823,4407,2261,190
est42010,"April 1, 2010 Estimates Base",totpop,Total,0400000US05,05,Arkansas,2388133,472446,52461,46059,8597,554184,148964,15491,13745,3484,1455704,285469,32389,30002,4889,378245,38013,4581,2312,224
est72010,"July 1, 2010 Estimate",hisp,Hispanic,0400000US05,05,Arkansas,172488,7743,8904,2378,1451,69532,3480,3633,1038,513,98813,4068,5097,1292,904,4143,195,174,48,34
est72010,"July 1, 2010 Estimate",nhisp,Not Hispanic,0400000US05,05,Arkansas,2220038,466259,43752,44232,7350,485152,145598,11897,12814,3019,1359533,282599,27398,29120,4139,375353,38062,4457,2298,192
est72010,"July 1, 2010 Estimate",totpop,Total,0400000US05,05,Arkansas,2392526,474002,52656,46610,8801,554684,149078,15530,13852,3532,1458346,286667,32495,30412,5043,379496,38257,4631,2346,226
est72011,"July 1, 2011 Estimate",hisp,Hispanic,0400000US05,05,Arkansas,177943,7907,9096,2372,1456,71452,3501,3632,1026,520,101923,4204,5277,1304,903,4568,202,187,42,33
est72011,"July 1, 2011 Estimate",nhisp,Not Hispanic,0400000US05,05,Arkansas,2225816,469216,44592,46508,7792,483685,144032,11968,13279,3159,1362140,286337,27907,30701,4417,379991,38847,4717,2528,216
est72011,"July 1, 2011 Estimate",totpop,Total,0400000US05,05,Arkansas,2403759,477123,53688,48880,9248,555137,147533,15600,14305,3679,1464063,290541,33184,32005,5320,384559,39049,4904,2570,249
est72012,"July 1, 2012 Estimate",hisp,Hispanic,0400000US05,05,Arkansas,183293,8193,9390,2379,1493,73171,3610,3697,1016,526,105025,4349,5481,1316,923,5097,234,212,47,44
est72012,"July 1, 2012 Estimate",nhisp,Not Hispanic,0400000US05,05,Arkansas,2226892,471547,45559,49008,8111,481832,143675,12224,13907,3243,1352484,287678,28213,32338,4641,392576,40194,5122,2763,227
est72012,"July 1, 2012 Estimate",totpop,Total,0400000US05,05,Arkansas,2410185,479740,54949,51387,9604,555003,147285,15921,14923,3769,1457509,292027,33694,33654,5564,397673,40428,5334,2810,271
est72013,"July 1, 2013 Estimate",hisp,Hispanic,0400000US05,05,Arkansas,187665,8410,9608,2449,1481,74379,3715,3703,1022,514,107647,4449,5645,1379,920,5639,246,260,48,47
est72013,"July 1, 2013 Estimate",nhisp,Not Hispanic,0400000US05,05,Arkansas,2226073,474759,46397,51129,8590,479338,143515,12429,14648,3449,1345332,289521,28419,33451,4898,401403,41723,5549,3030,243
est72013,"July 1, 2013 Estimate",totpop,Total,0400000US05,05,Arkansas,2413738,483169,56005,53578,10071,553717,147230,16132,15670,3963,1452979,293970,34064,34830,5818,407042,41969,5809,3078,290
est72014,"July 1, 2014 Estimate",hisp,Hispanic,0400000US05,05,Arkansas,192211,8666,9892,2524,1510,75589,3824,3802,1044,535,110474,4596,5808,1433,925,6148,246,282,47,50
est72014,"July 1, 2014 Estimate",nhisp,Not Hispanic,0400000US05,05,Arkansas,2225070,478032,47213,53159,9143,476240,143293,12562,15190,3639,1338506,291197,28715,34626,5230,410324,43542,5936,3343,274
est72014,"July 1, 2014 Estimate",totpop,Total,0400000US05,05,Arkansas,2417281,486698,57105,55683,10653,551829,147117,16364,16234,4174,1448980,295793,34523,36059,6155,416472,43788,6218,3390,324
est72015,"July 1, 2015 Estimate",hisp,Hispanic,0400000US05,05,Arkansas,197047,8960,10211,2620,1564,76764,3933,3924,1097,564,113580,4749,5972,1476,951,6703,278,315,47,49
est72015,"July 1, 2015 Estimate",nhisp,Not Hispanic,0400000US05,05,Arkansas,2226051,481271,48127,55381,9612,473650,143119,12777,15659,3777,1333902,292608,28982,36020,5540,418499,45544,6368,3702,295
est72015,"July 1, 2015 Estimate",totpop,Total,0400000US05,05,Arkansas,2423098,490231,58338,58001,11176,550414,147052,16701,16756,4341,1447482,297357,34954,37496,6491,425202,45822,6683,3749,344
cen42010,"April 1, 2010 Census",hisp,Hispanic,0400000US06,06,California,12944974,403804,641004,365137,85268,4362385,176851,223348,156973,35628,7872785,216105,391997,196600,47137,709804,10848,25659,11564,2503
cen42010,"April 1, 2010 Census",nhisp,Not Hispanic,0400000US06,06,California,15815940,2452451,385737,5341933,234768,2916841,665747,97925,1217654,68849,10217622,1557563,250432,3541801,150272,2681477,229141,37380,582478,15647
cen42010,"April 1, 2010 Census",totpop,Total,0400000US06,06,California,28760914,2856255,1026741,5707070,320036,7279226,842598,321273,1374627,104477,18090407,1773668,642429,3738401,197409,3391281,239989,63039,594042,18150
est42010,"April 1, 2010 Estimates Base",hisp,Hispanic,0400000US06,06,California,12945110,403804,641007,365138,85269,4362391,176851,223348,156974,35628,7872890,216105,391999,196600,47138,709829,10848,25660,11564,2503
est42010,"April 1, 2010 Estimates Base",nhisp,Not Hispanic,0400000US06,06,California,15816175,2452588,385740,5341957,234779,2916844,665749,97925,1217654,68849,10217724,1557620,250435,3541811,150272,2681607,229219,37380,582492,15658
est42010,"April 1, 2010 Estimates Base",totpop,Total,0400000US06,06,California,28761285,2856392,1026747,5707095,320048,7279235,842600,321273,1374628,104477,18090614,1773725,642434,3738411,197410,3391436,240067,63040,594056,18161
est72010,"July 1, 2010 Estimate",hisp,Hispanic,0400000US06,06,California,12997305,405354,643175,366274,85298,4363696,176450,222562,157025,35593,7915218,217885,394512,197526,47175,718391,11019,26101,11723,2530
est72010,"July 1, 2010 Estimate",nhisp,Not Hispanic,0400000US06,06,California,15812960,2454448,386309,5372231,235371,2906787,663303,97391,1219519,68993,10213200,1560505,251137,3562712,150347,2692973,230640,37781,590000,16031
est72010,"July 1, 2010 Estimate",totpop,Total,0400000US06,06,California,28810265,2859802,1029484,5738505,320669,7270483,839753,319953,1376544,104586,18128418,1778390,645649,3760238,197522,3411364,241659,63882,601723,18561
est72011,"July 1, 2011 Estimate",hisp,Hispanic,0400000US06,06,California,13232348,412970,650401,373054,86950,4379315,175917,218584,157169,35366,8095900,225148,404044,203314,48890,757133,11905,27773,12571,2694
est72011,"July 1, 2011 Estimate",nhisp,Not Hispanic,0400000US06,06,California,15807536,2470242,387652,5502304,240396,2875981,655808,95981,1226976,69328,10190510,1577551,252121,3652910,153994,2741045,236883,39550,622418,17074
est72011,"July 1, 2011 Estimate",totpop,Total,0400000US06,06,California,29039884,2883212,1038053,5875358,327346,7255296,831725,314565,1384145,104694,18286410,1802699,656165,3856224,202884,3498178,248788,67323,634989,19768
est72012,"July 1, 2012 Estimate",hisp,Hispanic,0400000US06,06,California,13440862,420365,656912,380103,88567,4377446,175079,214368,157138,35273,8262115,232412,412802,209401,50456,801301,12874,29742,13564,2838
est72012,"July 1, 2012 Estimate",nhisp,Not Hispanic,0400000US06,06,California,15812340,2485885,389543,5638303,245314,2845165,646252,94567,1236467,69707,10121853,1592904,252576,3739279,157339,2845322,246729,42400,662557,18268
est72012,"July 1, 2012 Estimate",totpop,Total,0400000US06,06,California,29253202,2906250,1046455,6018406,333881,7222611,821331,308935,1393605,104980,18383968,1825316,665378,3948680,207795,3646623,259603,72142,676121,21106
est72013,"July 1, 2013 Estimate",hisp,Hispanic,0400000US06,06,California,13641776,428060,664067,387126,90153,4372097,174404,210442,157254,35156,8422440,239614,421838,215255,51982,847239,14042,31787,14617,3015
est72013,"July 1, 2013 Estimate",nhisp,Not Hispanic,0400000US06,06,California,15812881,2499966,391064,5789697,250652,2818736,638382,93401,1253503,70371,10063524,1604348,252716,3829620,160740,2930621,257236,44947,706574,19541
est72013,"July 1, 2013 Estimate",totpop,Total,0400000US06,06,California,29454657,2928026,1055131,6176823,340805,7190833,812786,303843,1410757,105527,18485964,1843962,674554,4044875,212722,3777860,271278,76734,721191,22556
est72014,"July 1, 2014 Estimate",hisp,Hispanic,0400000US06,06,California,13848576,437476,674742,395479,92095,4370570,175874,210532,158890,35560,8583211,246406,430314,220981,53295,894795,15196,33896,15608,3240
est72014,"July 1, 2014 Estimate",nhisp,Not Hispanic,0400000US06,06,California,15806016,2520969,392219,5950426,255299,2794813,633439,92258,1268644,70873,10002139,1619468,252625,3926912,163642,3009064,268062,47336,754870,20784
est72014,"July 1, 2014 Estimate",totpop,Total,0400000US06,06,California,29654592,2958445,1066961,6345905,347394,7165383,809313,302790,1427534,106433,18585350,1865874,682939,4147893,216937,3903859,283258,81232,770478,24024
est72015,"July 1, 2015 Estimate",hisp,Hispanic,0400000US06,06,California,14040493,448350,685978,404584,94235,4364983,178604,211916,161559,36097,8727834,253362,437797,226429,54695,947676,16384,36265,16596,3443
est72015,"July 1, 2015 Estimate",nhisp,Not Hispanic,0400000US06,06,California,15788764,2540972,393008,6111236,259431,2773829,629266,91449,1284614,71062,9925321,1631179,251911,4018960,166264,3089614,280527,49648,807662,22105
est72015,"July 1, 2015 Estimate",totpop,Total,0400000US06,06,California,29829257,2989322,1078986,6515820,353666,7138812,807870,303365,1446173,107159,18653155,1884541,689708,4245389,220959,4037290,296911,85913,824258,25548
cen42010,"April 1, 2010 Census",hisp,Hispanic,0400000US08,08,Colorado,953864,35371,68649,15670,4761,342002,17482,25275,7271,2004,560751,17326,40502,8011,2647,51111,563,2872,388,110
cen42010,"April 1, 2010 Census",nhisp,Not Hispanic,0400000US08,08,Colorado,3617795,226129,64161,175068,12062,756245,71719,17463,51761,4123,2393965,139270,42471,111736,7528,467585,15140,4227,11571,411
cen42010,"April 1, 2010 Census",totpop,Total,0400000US08,08,Colorado,4571659,261500,132810,190738,16823,1098247,89201,42738,59032,6127,2954716,156596,82973,119747,10175,518696,15703,7099,11959,521
est42010,"April 1, 2010 Estimates Base",hisp,Hispanic,0400000US08,08,Colorado,953894,35373,68651,15670,4761,342002,17482,25275,7271,2004,560781,17328,40504,8011,2647,51111,563,2872,388,110
